DATE,OPP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,REB,AST,TO,STL,BLK,PF,PTS,PRA,NAME,TEAM
"Sat, Dec 2",@ MIL,37,13,28,5,13,1,2,2,12,4,2,0,0,32,46,Trae Young,ATL
"Thu, Nov 30",@ SAS,40,15,29,2,9,13,16,4,14,2,2,0,1,45,63,Trae Young,ATL
"Tue, Nov 28",@ CLE,32,3,14,2,8,5,6,1,10,3,1,0,3,13,24,Trae Young,ATL
"Sun, Nov 26",@ BOS,37,12,27,6,16,3,6,5,7,5,0,0,3,33,45,Trae Young,ATL
"Sat, Nov 25",@ WAS,30,9,17,5,8,3,3,6,10,2,2,0,1,26,42,Trae Young,ATL
"Wed, Nov 22",vs. BKN,40,12,31,8,16,11,13,4,9,4,2,0,0,43,56,Trae Young,ATL
"Tue, Nov 21",vs. IND,39,13,17,5,8,7,8,1,8,3,3,0,3,38,47,Trae Young,ATL
"Fri, Nov 17",vs. PHI,37,5,14,2,6,10,10,2,13,4,1,0,3,22,37,Trae Young,ATL
"Wed, Nov 15",vs. NYK,34,4,12,0,4,7,9,1,17,3,2,0,0,15,33,Trae Young,ATL
"Sat, Nov 11",vs. MIA,38,7,19,3,9,10,11,2,11,5,1,0,0,27,40,Trae Young,ATL
"Thu, Nov 9",@ ORL,34,12,27,5,15,12,13,4,8,3,3,0,1,41,53,Trae Young,ATL
"Mon, Nov 6",@ OKC,36,5,18,1,5,11,11,4,11,7,1,0,1,22,37,Trae Young,ATL
"Sat, Nov 4",@ NOR,39,7,15,3,7,5,6,5,12,5,1,0,3,22,39,Trae Young,ATL
"Wed, Nov 1",vs. WAS,35,7,18,1,3,8,9,3,10,3,2,0,1,23,36,Trae Young,ATL
"Mon, Oct 30",vs. MIN,35,9,22,1,7,5,5,1,8,1,1,0,1,24,33,Trae Young,ATL
"Sun, Oct 29",@ MIL,32,5,14,3,8,7,9,3,11,3,1,0,1,20,34,Trae Young,ATL
"Fri, Oct 27",vs. NYK,35,4,16,2,5,8,10,3,12,6,3,0,2,18,33,Trae Young,ATL
"Wed, Oct 25",@ CHA,36,4,19,1,9,14,15,1,9,5,1,0,3,23,33,Trae Young,ATL
"Sat, Dec 2",@ MIL,30,4,13,0,0,2,2,17,4,2,1,3,4,10,31,Clint Capela,ATL
"Thu, Nov 30",@ SAS,23,6,9,0,0,0,0,9,1,2,0,1,4,12,22,Clint Capela,ATL
"Tue, Nov 28",@ CLE,22,6,10,0,0,2,2,9,0,2,2,2,1,14,23,Clint Capela,ATL
"Sun, Nov 26",@ BOS,21,1,5,0,0,2,6,8,1,1,1,2,0,4,13,Clint Capela,ATL
"Sat, Nov 25",@ WAS,18,6,14,0,0,0,2,11,1,0,0,0,2,12,24,Clint Capela,ATL
"Wed, Nov 22",vs. BKN,27,7,8,0,0,0,0,15,0,0,0,3,1,14,29,Clint Capela,ATL
"Tue, Nov 21",vs. IND,19,6,9,0,0,2,3,5,1,1,0,2,4,14,20,Clint Capela,ATL
"Fri, Nov 17",vs. PHI,29,7,11,0,0,3,5,11,2,0,1,1,3,17,30,Clint Capela,ATL
"Wed, Nov 15",vs. NYK,26,4,5,0,0,0,2,3,1,0,2,2,2,8,12,Clint Capela,ATL
"Tue, Nov 14",@ DET,27,3,4,0,0,2,2,8,1,3,2,3,5,8,17,Clint Capela,ATL
"Sat, Nov 11",vs. MIA,24,4,6,0,0,0,0,12,0,0,1,2,3,8,20,Clint Capela,ATL
"Thu, Nov 9",@ ORL,26,2,4,0,0,2,4,11,4,0,0,1,2,6,21,Clint Capela,ATL
